id,kode,nama,anggota,foto,deskripsi,created_at,updated_at
1,OL001,Basket,102,https://www.umn.ac.id/wp-content/uploads/2016/02/basket-umn-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.jpg,"“Pantulkan bola, lewati lawan, lempar ke dalam ring dan masuk!” Tidak asing dengan gerakan dasar itu? Betul, inilah Lions Basketball! Selain menjadi wadah bagi mahasiswa peminat basket, Lions juga mendorong anggota dan timnya agar terus berprestasi di tiap pertandingan. Latihan rutin menjadi agenda utamanya disamping rajin mengikuti sparring, kompetisi hingga makrab anggota. Bergabunglah dengan Lions BasketBall, kobarkan semangat Lionsmu!",1573898329169,1573898329169
2,OL002,Futsal,140,https://www.umn.ac.id/wp-content/uploads/2016/02/futsal-umnuniversitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Selamat datang di olahraga menendang bola: Futsal! Di UKM Futsal, kamu enggak hanya diajak memperdalam permainan dan teknik berfutsal, tapi juga jadi ajang berkumpulnya pecinta futsal. Masih pemula? Jangan khawatir, di sini kamu akan dilatih mengenai pola dasar hingga membentuk strategi. Kuncinya: berlatih bersama, kuat bersama! Terbuka untuk semua mahasiswa dan mahasiswi UMN. Tertantang untuk bergabung?",1573898337807,1573898337807
3,OL003,Taekwondo,68,https://www.umn.ac.id/wp-content/uploads/2016/02/taekwondo-umn-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Merasa butuh teknik dasar bela diri? Berarti kamu harus ikut Taekwondo UMN! UKM yang berdiri sejak 2010 ini akan memberikan bekal buatmu mengenai teknik bela diri, antara lain tendangan, pukulan dan cara menstabilkan stamina. Di sini kamu juga akan berpeluang mengikuti berbagai turnamen. Tertarik? Mari uji kemampuanmu bersama Taekwondo UMN!",1573898340276,1573898340276
4,OL004,Capoeira,42,https://www.umn.ac.id/wp-content/uploads/2016/02/capoera-umnuniversitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Seni bela diri, musik, dan tarian, secara harmoni berpadu dalam sebuah seni tradisional Brazil bernama Capoeira. Capoeira hadir di UMN sejak tahun 2010 dalam bentuk UKM, yang dilatih langsung oleh instruktur Capoeira ternama di Indonesia. Selain agenda latihan rutin, Capoeira UMN sering mengisi acara di dalam maupun di luar kampus. Penasaran? Langsung aja bergabung dengan Capoeira UMN.",1573898343977,1573898343977
5,OL005,Softball,87,https://www.umn.ac.id/wp-content/uploads/2016/02/softball-umn-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Apa yang kamu ketahui tentang softball? Softball adalah olahraga yang diadaptasi dari baseball, dengan teknik dasar melempar, memukul dan menangkap bola. Ukuran lapangan dan bola yang berbeda, membuat softball lebih menarik untuk dicoba. Jadi, ingin tahu lebih lanjut mengenai softball? Langsung saja bergabung dengan Softball UMN!",1573898348913,1573898348913
6,SB001,J-Café,170,https://www.umn.ac.id/wp-content/uploads/2016/02/jcafe-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Akrab dengan cosplay, anime, dan manga? Pecinta kebudayaan dan musik Jepang? Kalau begitu, kamu harus segera bergabung dengan J-CAFÉ! UKM ini memiliki beragam divisi yang bisa kamu pilih sesuai dengan minatmu, antara lain Ilustrasi, Musik, Cosplay, Culture, Trading Card Game, Visual Novel, serta Toys.",1573898351381,1573898351381
7,SB002,Qorie,210,https://www.umn.ac.id/wp-content/uploads/2016/02/Qorie-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,Jangan ngaku pecinta Korea kalau belum ikut UKM yang satu ini! QORIE atau Korea Anthusiasem bisa menjadi wadah untuk kamu para pecinta budaya Korea. Pengen belajar Bahasa Korea? Ada divisi Bahasa. Nyanyi lagu K-Pop? Punya divisi Sing Cover. Menari ala-ala boy/girlband Korea? Hadir divisi Dance Cover. Penasaran? Gabung saja langsung bersama Qorie!,1573898353849,1573898353849
8,SB003,Ultima Sonora,180,https://www.umn.ac.id/wp-content/uploads/2016/02/ultimasonora-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Paduan suara. Konser. Olah vokal. Tiga kata itu identik dengan UKM Ulson atau Ultima Sonora. Berdiri tahun 2007, UKM ini banyak tampil untuk memenuhi acara dalam dan luar kampus, sampai berkompetisi di festival padus internasional. Ulson terbuka buat kamu yang baru mau belajar, sampai yang ingin memperdalam dunia paduan suara.",1573898356317,1573898356317
9,SB004,Teater KataK,238,https://www.umn.ac.id/wp-content/uploads/2016/02/katak-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Teokoek koek KATAK! Inilah UKM seni teater yang diresmikan UMN tepat 2009 lalu. Sampai sekarang, Teater KATAK fokus bergerak pada segala aspek seni teater, mulai dari proses produksi depan hingga belakang panggung. Tiap semester, KATAK memiliki proyek pementasan yang dilakukan dengan tour pentas di sekolah, kampus, hingga Gedung Kesenian Jakarta. Maka itu, mari tantang dirimu bermain peran di Teater KATAK!",1573898358785,1573898358785
10,SB005,Obscura,94,https://www.umn.ac.id/wp-content/uploads/2016/02/obscura-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Senang menangkap momen tertentu lewat lensa kamera? Berarti kamu harus coba gabung bersama Obscura! UKM pecinta fotografi yang ada di UMN ini punya banyak agenda kegiatan, antara lain Obscura Corner, Obscura Hunter, Malam Keakraban, Pameran Besar Obscura, Obscura Gathering, sampai Malam Inisiasi yang ditujukan bagi para anggota baru Obscura. Abadikan momenmu di sini!",1573898361253,1573898361253
11,SB006,Friday Noon Guest,112,https://www.umn.ac.id/wp-content/uploads/2016/02/street-dance-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia-150x150.png,"Nge-dance bareng UKM Street Dance yuk! Berdiri sejak 2007, Street Dance tak pernah berhenti menjadi wadah berbagi teknik dan pengalaman mengenai dunia dance. Selain diajak tampil di berbagai acara, kamu bakal dilatih jadi seorang dancer! Enggak perlu pikir panjang lagi, langsung saja bergabung bersama UKM Street Dance!",1573898363722,1573898363722
12,SB007,Mufomic,83,https://www.umn.ac.id/wp-content/uploads/2016/02/mufomic-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Hobi nge-band? Jika iya, maka MUFOMIC atau Multimedia Face of Music bisa jadi tempat yang pas buat kamu! UKM yang berdiri tahun 2013 ini akan mengajakmu berekspresi dan bereksplorasi dengan musik lewat cara kreatif. Kamu bisa belajar jadi penyanyi, drummer, gitaris, dan posisi band lainnya di MUFOMIC. Guncangkan kampus dengan konsep bandmu!",1573898366190,1573898366190
13,SB008,Tracce,49,https://www.umn.ac.id/wp-content/uploads/2016/02/tracce-universitas-multimedia-nusantara-universitas-terbaik-di-tangerang-indonesia.png,"Ngaku 100% Indonesia dan punya misi mau melestarikan budaya lokal? UKM Tracce jawabannya! Lewat Tracce, kamu bisa belajar musik dan tarian tradisional khas tanah air. Terbagi menjadi tiga divisi, yaitu Musik (rebana, gendang, dll), Saman (tarian tradisional Aceh), dan Reguler (tarian yang ada di Nusantara selain Saman). Gabung Tracce, Rayakan Indonesia!",1573898368658,1573898368658
14,SS001,Mapala,83,https://www.umn.ac.id/wp-content/uploads/2016/02/mapala.png,"Rasa cinta pada alam bisa kamu wujudkan bersama teman-teman mahasiswa melalui Mahasiswa Pencinta Alam atau MAPALA. UKM yang berakar dari semangat kebersamaan dan kekeluargaan yang membumi ini bisa jadi tempat yang tepat buat kamu yang mau berkenalan lebih dekat dengan alam. Mari menjelajah alam tanpa merusaknya, bisa dimulai dengan bergabung bersama MAPALA!",1573898371125,1573898371125
15,SS002,Rencang,186,https://www.umn.ac.id/wp-content/uploads/2016/02/rencang.png,"Jangan ngaku berjiwa sosial kalau belum ikut Rencang! Sebuah UKM yang berangkat dari rasa kepedulian terhadap sesama dan bergerak lewat cinta kepada masyarakat. Berdiri sejak 2007, Rencang memiliki banyak agenda yang punya aksi nyata, antara lain donor darah, layanan pengobatan gratis, amal, hingga kunjungan ke lembaga pembinaan. Rencang? “aye!”",1573898373593,1573898373593
16,SS003,UESC,74,https://www.umn.ac.id/wp-content/uploads/2016/02/uesc.png,"Passionate in public speaking dan word games? UESC or English Student Council has two divisions such as Debate and Word Games, which delivers you the way to develop and explore your talent on those two capabilities. Let’s practice with us and have a fun gathering, by joining our club and activities! Study hard, play hard!",1573898380997,1573898380997
17,SS004,Game Development Club,30,https://www.umn.ac.id/wp-content/uploads/2016/02/gdc.png,"Suka gaming? Ingin belajar mengenai game development, sekaligus saling berbagi ilmu tentang pengembangan game? Kalau begitu, GDC atau Game Development Club adalah tempat yang cocok buat kamu! UKM yang sudah berdiri sejak tahun 2011 ini mengajak kamu lebih dari sekadar bermain game, tapi juga tahu banyak seluk-beluk pembuatannya. Dengan konsep tutorial yang bersifat sharing, GDC bergelut di dunia game yang enggak main-main.",1573898383529,1573898383529
